,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,geo,id,in_reply_to_user_id,text,origen
0,{'media_keys': ['3_1591073841941446657']},2800235369,1591074148515995650,2022-11-11 14:23:32+00:00,['1591074148515995650'],,1591074148515995650,,"#Cristina como #Picasso, le ordena a la realidad parecerse
a su imaginario relato. https://t.co/C7GUIg2Gof",Cristina
1,{'media_keys': ['3_1591050277079113730']},3073870673,1591050282238369792,2022-11-11 12:48:42+00:00,['1591050282238369792'],,1591050282238369792,,#TUGO #Olivos #Anses #Massa #Alberto 🐀🐀🐀#Cristina Este gobierno destruye a los jubilados https://t.co/nR6FhJEnkP,Cristina
2,,1516549134450319365,1590791367864815635,2022-11-11 12:45:56+00:00,['1591049587900678147'],,1591049587900678147,1.0683107236112957e+18,@rauldominguezb2 @Kodi_cu Don pruebas contundentes contra el Proceso judicial en el juicio por el intento de asesinato contra #Cristina,Cristina
3,{'media_keys': ['3_1591046197749358593']},1492966637183639553,1591046205550694400,2022-11-11 12:32:30+00:00,['1591046205550694400'],,1591046205550694400,,"Bajo el precepto de la eliminación física de los políticos que pretendan llevar adelante proyectos progresistas, la derecha neoliberal ataca indiscriminadamente la moral e incluso la vida de paladines de la izquierda como Cristina Fernández. No sería la primera vez! #Cristina https://t.co/tLV9ZfuYHW",Cristina
4,,895320742337945600,1591040105820852225,2022-11-11 12:08:15+00:00,['1591040105820852225'],,1591040105820852225,,"#bbtvi #BigBrother #bigbrothertvi #TVI #Cristina #cristinaferreira #vergonhatvi #vergonhaEndemol #VERGONHA
https://t.co/kkYq8UV73r",Cristina
5,,932781738648096768,1591039250832801792,2022-11-11 12:04:52+00:00,['1591039250832801792'],,1591039250832801792,,"-
#Cristina ➡️ #CFKLadronaDeLaNacionArgentina https://t.co/241uUzYRk6",Cristina
6,,1191340974968053761,1591038691975524352,2022-11-11 12:02:38+00:00,['1591038691975524352'],,1591038691975524352,,#Cristina #Alberto #Fernandez #peron #Peronismo #Kirchnerismo #tolosa #Santoro #Kirchner https://t.co/OBbUobb9DV,Cristina
7,,1505234578662961160,1591030508401590274,2022-11-11 11:30:07+00:00,['1591030508401590274'],,1591030508401590274,,"E tem toda a razão 👏👏👏
#vergonhatvi 
#Cristina 
#bbtvi https://t.co/ZEHeYqQXqz",Cristina
8,,291841061,1590660542292803590,2022-11-11 10:35:05+00:00,['1591016657346269184'],,1591016657346269184,138814032.0,"@CFKArgentina Fuerza #Cristina ... #Milman  debe pagar, está claro que la juez #CapuchettiEncubridora está metida en la movida",Cristina
9,,895320742337945600,1591016441679314945,2022-11-11 10:34:14+00:00,['1591016441679314945'],,1591016441679314945,,"#radartvi #Cristina #cristinaferreira #emoji 
https://t.co/Fxxzdz2Dlk",Cristina
10,,895320742337945600,1591015113263558656,2022-11-11 10:28:57+00:00,['1591015113263558656'],,1591015113263558656,,"#bbtvi #BigBrother #bigbrothertvi #TVI #Cristina #cristinaferreira #vergonhatvi #vergonhaEndemol #VERGONHA
https://t.co/xWzJuQcD70",Cristina
11,,895320742337945600,1591009902813937665,2022-11-11 10:08:15+00:00,['1591009902813937665'],,1591009902813937665,,"#cristina #cristinaferreira #goucha #tvi #irinafernandes
https://t.co/bYDZhtYDtq",Cristina
12,,895320742337945600,1591007892379144192,2022-11-11 10:00:15+00:00,['1591007892379144192'],,1591007892379144192,,"#bbtvi #BigBrother #bigbrothertvi #TVI #Cristina #cristinaferreira #vergonhatvi #vergonhaEndemol #VERGONHA 
https://t.co/o1rARIM38P",Cristina
13,,895320742337945600,1590993864206462976,2022-11-11 09:04:31+00:00,['1590993864206462976'],,1590993864206462976,,"#Cristina #cristinaferreira #bbtvi #BigBrother #bigbrothertvi #TVI
https://t.co/fdSpejyuI4",Cristina
14,,895320742337945600,1590988174201098241,2022-11-11 08:41:54+00:00,['1590988174201098241'],,1590988174201098241,,"#Cristina #cristinaferreira #bbtvi #BigBrother #bigbrothertvi #TVI
https://t.co/m56hwe809P",Cristina
15,{'media_keys': ['3_1590979582458580993']},124846150,1590979866090180610,2022-11-11 08:08:53+00:00,['1590979866090180610'],,1590979866090180610,,"Some women fear the fire, some women simply become it…
#studiophotography #estudiofotografico #pedrogameiro #vrsa #algarve #cristina https://t.co/wu4ozI1S0y",Cristina
16,,895320742337945600,1590971244924399616,2022-11-11 07:34:38+00:00,['1590971244924399616'],,1590971244924399616,,"#cristinaferreira #cristina #joaopatricio #TVI 
https://t.co/gLkKhLuEhh",Cristina
17,"{'media_keys': ['3_1590955198931177474', '3_1590955202169155584', '3_1590955205323296768']}",447435604,1590955207516880897,2022-11-11 06:30:54+00:00,['1590955207516880897'],,1590955207516880897,,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @momtomoms1 #poshmark #fashion #style #shopmycloset #cristina #rayban #potterybarn: https://t.co/N26pzcOE3K https://t.co/9UG18biPNc,Cristina
18,"{'media_keys': ['3_1590955043662204929', '3_1590955046849896449', '3_1590955050020794368']}",729163436907761664,1590955052084363264,2022-11-11 06:30:17+00:00,['1590955052084363264'],,1590955052084363264,,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #cristina #janieandjack #eileenfisher: https://t.co/20O1MYNNpI https://t.co/S0TL7JZsvP,Cristina
19,,1590945663533064192,1590860469954170880,2022-11-11 06:07:40+00:00,['1590949360107675648'],,1590949360107675648,3894954440.0,@llanas_hilda @kike_mayagoitia @tefivalenzuela5 @OlgaBathoryH @MiguelDiazTV @PedroPrietoTv @multimediostv #Cristina para lectura de cartas,Cristina
20,,1590945663533064192,1590941201980542977,2022-11-11 06:03:44+00:00,['1590948371594088449'],,1590948371594088449,25096209.0,@multimediostv #Cristina paralectura,Cristina
21,{'media_keys': ['7_1590903841016483848']},1932155882,1590904760018042882,2022-11-11 03:10:41+00:00,['1590904820864806912'],,1590904820864806912,1932155882.0,"#EsNoticiaArgentina ¿De quiénes se trata? ¿Será posible esa recusación?
Analizamos en profundidad con el periodista Javier Romero.
@EsNoticia_tlSUR 
@Tatiana_teleSUR 
#Cristina 
#cristinaesesperanza 
#CristinaKirchner https://t.co/XoBCMgyE8K",Cristina
22,{'media_keys': ['7_1590903280305070081']},1932155882,1590904760018042882,2022-11-11 03:10:34+00:00,['1590904790699380738'],,1590904790699380738,1932155882.0,"#EsNoticiaArgentina Denuncia que a pesar de las pruebas sobre la implicación de políticos de oposición, no son vinculados al proceso. 
Ampliamos en @EsNoticia_tlSUR 
@Tatiana_teleSUR 
#Cristina 
#cristinaesesperanza 
#CristinaKirchner https://t.co/XA0r0aXkC4",Cristina
23,{'media_keys': ['7_1590903097278226434']},1932155882,1590904760018042882,2022-11-11 03:10:27+00:00,['1590904760018042882'],,1590904760018042882,,"#EsNoticiaArgentina La vicepresidenta Cristina Fernández pide que la juez María Eugenia Capuchetti sea apartada de la investigación por el magnicidio frustrado en su contra. 
Ampliamos en @EsNoticia_tlSUR 
@Tatiana_teleSUR 
#Cristina 
#cristinaesesperanza 
#CristinaKirchner https://t.co/R7oJfg9Lni",Cristina
24,,695729642276286469,1590893112402280448,2022-11-11 02:24:10+00:00,['1590893112402280448'],,1590893112402280448,,Y porque da risa no da ni para investigarlo. Ni siquiera siendo que dos veces días antes presentó proyectos en diputados sobre la custodia de CFK. El año q viene veremos q la mayoría no les cree a uds los periodistas militantes. #Cristina https://t.co/dTMoXOMBmx,Cristina
25,,2749162279,1590892716786737152,2022-11-11 02:22:35+00:00,['1590892716786737152'],,1590892716786737152,,"#RenunciaCerrutti 
#NiolvidoNiPerdónALosK
#BastaDeNarcoEstadoK 
#Cristina Tiene la culpa de todo!#CristinaPresaYa https://t.co/o837mS5zml",Cristina
26,{'media_keys': ['7_1590889496052113408']},1370009252237090824,1590889653938589696,2022-11-11 02:10:25+00:00,['1590889653938589696'],,1590889653938589696,,"Las chances de #Cristina en 2023 

🎙️ @JorgeGiacobbe, de @GiacobbeOP, en @Dataposta_ https://t.co/qKsH3dqqOy",Cristina
27,,2704819326,1590884156778713089,2022-11-11 01:48:34+00:00,['1590884156778713089'],,1590884156778713089,,"#Cultura$ #Barbara$
Dice #Cristina...
""Los verdaderos #salvajes son los promotores de un nuevo #orden #Mundial #Bárbaro, que nos ha llevado a la 3ra #GuerraMundial""

#Obvio!
Otras armas distintas, entre ellas el #GenocidioCultural.…https://t.co/LprnBUF6SW https://t.co/vLVENuRSna",Cristina
28,,28428521,1590883091161255936,2022-11-11 01:44:20+00:00,['1590883091161255936'],,1590883091161255936,133692652.0,@ursuvargues no te da vergüenza ponerle voz al camelo delirante de #Cristina?,Cristina
29,,1420825336166637570,1590754989823365120,2022-11-11 01:10:49+00:00,['1590874656147243008'],,1590874656147243008,1.003973569729237e+18,"@PamelaPaz07 @Clorobles2 #Alberto = #Cristina = #Massa; Peleas de Palacio; Pelea por las sillas; En la calle: +100% Inflación, +50% Pobreza, 25% de Pobres Pauperizados, 11.000.000 de Personas descartadas, 1 de cada 4 Niños abandonó 1 o 2 de sus 4 Comidas Diarias; 👇",Cristina
30,,875585426412548096,1590870769835597824,2022-11-11 00:55:23+00:00,['1590870769835597824'],,1590870769835597824,,"#Feletti:""Con #Cristina se tomaba una decisión y se iba hasta el final, #Alberto me condicionaba cuando quería avanzar"" https://t.co/onVA4DUudM",Cristina
31,,531776876,1590870598745747456,2022-11-11 00:54:42+00:00,['1590870598745747456'],,1590870598745747456,,"#Feletti:""Con #Cristina se tomaba una decisión y se iba hasta el final, #Alberto me condicionaba cuando quería avanzar"" https://t.co/QnqN6UJRrT",Cristina
32,,218116576,1590858659315453952,2022-11-11 00:07:15+00:00,['1590858659315453952'],,1590858659315453952,,"Hanno pronunciato frasi orrende e fatto branco contro #MarcoBellavia e/o #Nikita:
#Ciacci🚩
#Ginevra🚩
#Charlie
#Antonino
#Gegia🚩
#Sara🚩
#Cristina🚩
#Wilma
#Patrizia
#Pamela🚩
#Amaurys🚩
#Elenoire🚩
#Edoardo
#Carolina🚩
#Antonella
#Giaele
#gfvip",Cristina
33,,45549573,1590852063353008129,2022-11-10 23:41:03+00:00,['1590852063353008129'],{'place_id': '018f1cde6bad9747'},1590852063353008129,,Menos mal que le aumentaron a 7 palos la jubilación a la vice… #Cristina #ElPeorGobiernoDeLaHistoria,Cristina
34,{'media_keys': ['3_1590848871730761729']},1009620901,1590848881029324801,2022-11-10 23:28:24+00:00,['1590848881029324801'],,1590848881029324801,,"Para #Cristina, la jueza #Capuchetti «paraliza y boicotea» la investigación de la causa del intento de magnicidio
https://t.co/0H3C9KHulQ https://t.co/ORpAvySeUY",Cristina
35,,1229820623419035655,1590834321518374912,2022-11-10 22:30:33+00:00,['1590834321518374912'],,1590834321518374912,,"📰📢 Este jueves: #Cristina recusará a la jueza que investiga el atentado; el Presidente se reunió con #Macron; ultiman detalles para congelar precios; conflicto entre #Francia e #Italia los migrantes.

#NoEstádeMás https://t.co/GDsudXaXa7",Cristina
36,,42820461,1590834190161162241,2022-11-10 22:30:01+00:00,['1590834190161162241'],,1590834190161162241,,"Cristina Italian Meaning: The name Cristina is an Italian baby name. In Italian the meaning of the name Cristina is: Follower of Christ. #Cristina, #BabyNames #BabyNameMeaning #Kidpaw  https://t.co/NvRLzVZcrP",Cristina
37,,211245238,1590828153676922880,2022-11-10 22:06:02+00:00,['1590828153676922880'],,1590828153676922880,,"Atentado a #Cristina: Piden secuestrar celulares de asesoras de #Milman 

https://t.co/w3CqQEcye0",Cristina
38,{'media_keys': ['3_1590817956220608512']},1107346142738739202,1590817968044138496,2022-11-10 21:25:34+00:00,['1590817968044138496'],,1590817968044138496,138814032.0,"@CFKArgentina recusará a la jueza Capuchetti, que lleva la causa por el atentado #CristinaKirchner #Cristina #política #CapuchettiRecusada #Atentado https://t.co/dUrU6dpV83 https://t.co/mwaPqI2ZeF",Cristina
39,,895320742337945600,1590816247872356353,2022-11-10 21:18:44+00:00,['1590816247872356353'],,1590816247872356353,,"#cristinaferreira #Cristina #bbtvi #BigBrother #bigbrothertvi #TVI
https://t.co/VW5GYCLOfS",Cristina
40,,1421612940013277187,1590810053182791681,2022-11-10 20:54:07+00:00,['1590810053182791681'],,1590810053182791681,,#MafiaJudicialComplice #MafiaJudicialCómplice #TodosConCristina #Cristina2023 #Cristina https://t.co/rWTdTtDw7y,Cristina
41,,1369966245282471936,1590808201481850881,2022-11-10 20:46:45+00:00,['1590808201481850881'],,1590808201481850881,,#cristina pura maldad,Cristina
42,,912709955886682114,1590743069762392064,2022-11-10 19:55:46+00:00,['1590795370560647168'],,1590795370560647168,54414081.0,"@PatoBullrich Esto no es justicia, esto se llama intento a asesinato a un ser humano. Por más malo que sea uno, nadie tiene el derecho de quitarle la vida aunque le estén pagando por eso. 
El significado de justicia que usted tiene esta errado Sra Bullrich. 
#BuenJueves 
#Cristina",Cristina
43,{'media_keys': ['3_1590792737154076680']},821758699,1590792739951882240,2022-11-10 19:45:19+00:00,['1590792739951882240'],,1590792739951882240,,🗞 Los 10 indicios que para la Justicia desacreditan la acusación de #Cristina contra #Milman 🧵👇🏻 https://t.co/M6z5gKVo0S vía @hcappiello https://t.co/SrnTcvdV1E,Cristina
44,,1580501911194812416,1590101010303025152,2022-11-10 19:33:30+00:00,['1590789765322149889'],,1590789765322149889,1.517602314227495e+18,"@CarinaDeAlenca2 @arilijalad Los fallos de la justicia, se ACATAN.
Lo que vos pienses o lo que #Cristina piense ... NO INTERESA!

Los fallos de la CORTE SUPREMA DE JUSTICIA son definitivos.

¡AMEN!",Cristina
45,,1484243132665454592,1590648663843688450,2022-11-10 19:22:03+00:00,['1590786886725152768'],,1590786886725152768,1.528050478222803e+18,"@Veronica_inesb_ Sola entrega las manos para las esposas.
#CRISTINA PRESA YA!",Cristina
46,,895320742337945600,1590778515276058624,2022-11-10 18:48:47+00:00,['1590778515276058624'],,1590778515276058624,,"#cristinaferreira #cristina #bbtvi #BigBrother #bigbrothertvi #TVI
https://t.co/8Rq9M4A3pt",Cristina
47,,1409843467182821377,1590738497484345344,2022-11-10 18:16:59+00:00,['1590770512397230080'],,1590770512397230080,25992212.0,"@todonoticias Con tanta gente esperando justicia, a #cristina la juzgan tres veces por la misma bosta por la cual va  a ser sobreseida otra vez, creo que los boludean mas a sus propios votantes  haciendoles creer cosas que no van a pasar permanentemente",Cristina
48,,1087435352153952256,1590765583569940480,2022-11-10 17:57:24+00:00,['1590765583569940480'],,1590765583569940480,,"Milman se burló de la acusación de Cristina: “Me pareció estar viendo una película de ciencia ficción”

#milman #gerardomilman #AtentadoaCristina #cristina #cfk #cristinakirchner #Política @gmilman 

https://t.co/XznUygHMtN",Cristina
49,,1589709457461755904,1590762954852831233,2022-11-10 17:46:58+00:00,['1590762954852831233'],,1590762954852831233,,"Remera #Cfk Todos Con #Cristina #cristinakirchner #fuerzacristina
#peron #peronismo #nestorkirchner  #CFK2023 
https://t.co/ISxFmQmn1a",Cristina
50,{'media_keys': ['3_1590759608683040770']},1159878171950534657,1590759874996363271,2022-11-10 17:34:43+00:00,['1590759874996363271'],,1590759874996363271,,"Por Irregularidades en la investigación, Cristina recusará a la jueza Capuchetti por “paralizar y boicotear” la investigación
https://t.co/PLlhrfkFEx

#cristina #vicepresidenta #video #jueza #capuchetti #denuncia #boicot #investigacion #atentado https://t.co/2g6pABZDjG",Cristina
51,{'media_keys': ['3_1590759636638093315']},1229440585108533248,1590759642438803457,2022-11-10 17:33:48+00:00,['1590759642438803457'],,1590759642438803457,,#Cristina🙈@POTUS @WhiteHouse @VP @ONU_es @cepal_onu @el_BID @FMInoticias @Pontifex_es @consejomcaba @cmagistratura @MPFCABA @SergioBerniArg @CFKArgentina @FernandezAnibal @alferdez @PatoBullrich @PFAOficial @horaciorlarreta @mauriciomacri @RossiAgustinOk @PFAOficial @PoliciaPBA https://t.co/VGvaSKNUjt,Cristina
52,,224008567,1590747181001998337,2022-11-10 16:44:17+00:00,['1590747181001998337'],,1590747181001998337,,"Caso Hotesur: el fiscal de Casación pidió que Cristina Kirchner y sus hijos enfrenten el juicio por lavado. 
#Argentina #Corrupción #CFK #Cristina #kirchnerismo #FrenteDeTodos #Hotesur 

https://t.co/zaXqReA3w4",Cristina
53,,288212562,1589965891290423297,2022-11-10 16:42:41+00:00,['1590746781343977472'],{'place_id': '01c0a65e1a84b613'},1590746781343977472,1.1924336992053412e+18,@osvwal @AnaSbaglia Por eso #Cristina les molesta,Cristina
54,,1087435352153952256,1590743566531579904,2022-11-10 16:29:55+00:00,['1590743566531579904'],,1590743566531579904,,"Mena, viceministro de Justicia: ""Es evidente que no se quiere investigar a Milman en el atentado contra Cristina""

#Política #Judiciales #Justicia #Milman #Cristina #CFK #CristinaKirchner #Todos #FrenteDeTodos #Peronismo #PJ 

https://t.co/Xt6UIymw8R",Cristina
55,,2990372127,1590742521260707840,2022-11-10 16:25:46+00:00,['1590742521260707840'],,1590742521260707840,,Te quiero #Cristina hoy más que nunca #TodosconCristina https://t.co/xqbJd7g74i,Cristina
56,,3359447613,1590733617398808576,2022-11-10 15:50:23+00:00,['1590733617398808576'],,1590733617398808576,,Si avanzamos sobre hacer #cumplir las leyes a los #EmpresariosGolpistas macristas la #JusticiaCorrupta los defendería y poco podríamos hacer No vienen x #CRISTINA vienen por todos los trabajadores ( incluídos los chetxs #Pro),Cristina
57,,1069053968,1590660542292803590,2022-11-10 15:38:02+00:00,['1590730510674067457'],,1590730510674067457,138814032.0,"@CFKArgentina #Cristina es un sol negro y el kirchnerismo es gente tóxica
#KirchnerismoTóxico

Pregúntenle a Tailhade qué sabe",Cristina
58,,1477248455101849601,1590722462697676800,2022-11-10 15:06:03+00:00,['1590722462697676800'],,1590722462697676800,,"#mengolini #Cristina Es todo tan ridículo, tan berreta que alguien con un poquitito de cerebro se canta de risa. https://t.co/uQz9Wgnhde",Cristina
59,{'media_keys': ['3_1590717582780338176']},1144260249282666497,1590717585728970752,2022-11-10 14:46:41+00:00,['1590717585728970752'],,1590717585728970752,,"Cristina anunció en un video que recusará a la jueza Capuchetti en la causa por el atentado | News Digitales

🔴Lee la nota completa acá:
 https://t.co/xMo0dNjEnP #atentado #capuchetti #cristina https://t.co/eMzJoeJOsv",Cristina
60,,1453197538543083521,1590716040731770880,2022-11-10 14:40:32+00:00,['1590716040731770880'],,1590716040731770880,,"🔴¿Quién es #GerardoMilman, el #diputado de #Juntos al que #Cristina apunta por su #atentado?

👉Mano derecha de #PatriciaBullrich, encabezará una de las mesas para la postulación de la ex #ministra de seguridad del #PRO

https://t.co/QZAKSJZqKG

#avellaneda #conurbano #CFK",Cristina
61,{'media_keys': ['7_1590714682192678912']},1087435352153952256,1590715661390520321,2022-11-10 14:39:02+00:00,['1590715661390520321'],,1590715661390520321,,"Mena, viceministro de Justicia: ""No está previsto qué hacemos cuando un poder del Estado se da vuelta contra el propio Estado de Derecho""

#Política #Judiciales #Mena #Justicia #Estado #Gobierno #Todos #FrenteDeTodos #Peronismo #PJ #Cristina #CFK #Kirchner https://t.co/ZvoQLkAimp",Cristina
62,,1160562617271934980,1590708024729305093,2022-11-10 14:08:41+00:00,['1590708024729305093'],,1590708024729305093,,"A #Cristina la quieren presa o muerta. Y a la Argentina, sin #peronismo, sin peronistas. 
No es la primera vez que llevan adelante este plan... ya lo advirtió CFK ""No vienen [sólo] por mí, vienen por ustedes""

#FuerzaCristina https://t.co/FWIWFJnB0g",Cristina
63,{'media_keys': ['3_1590705571459735558']},994470332961607680,1590705576304340992,2022-11-10 13:58:57+00:00,['1590705576304340992'],,1590705576304340992,,"#Cristina Campos ha quedado finalista del Premio Planeta 2022 con su obra Historias de mujeres casadas. Publicada por Planeta en su colección Autores Españoles e Iberoamericanos, en sus páginas maridos, amantes y amigas van y vienen, pero el amor, el verdadero amor, permanece https://t.co/JbRewu78o3",Cristina
64,{'media_keys': ['3_1590695046831112193']},1113923314769170435,1590695049524023296,2022-11-10 13:17:08+00:00,['1590695049524023296'],,1590695049524023296,,"#Cristina es mala, mala, mala, mala, mala ... https://t.co/AK7oWWFHXn https://t.co/Q2Z3u5wM65",Cristina
65,,20284093,1590693431407304704,2022-11-10 13:10:42+00:00,['1590693431407304704'],,1590693431407304704,,"#Cristina Lo del ""MAGNICIRCO"" se pincho, se viene la condena, también una derrota histórica y ahora?",Cristina
66,,1409843467182821377,1590519626123051008,2022-11-10 12:51:04+00:00,['1590688489930387457'],,1590688489930387457,1666060182.0,"@peladopelado50 No no pueden por eso #Cristina pidio que se auditaran TODOS los planes los que dio ella 250000, los 50000 de macri y los 550000 que se fueron agregando por pandemia y por alberto, la AFIP informo 250000 irregularidades y se los van a dar de baja, por comprar dolares o ser propiet",Cristina
67,,1113923314769170435,1590688284908589057,2022-11-10 12:50:15+00:00,['1590688284908589057'],,1590688284908589057,,"Luego del video de #Cristina, un operador mediático del PRO tira que #Ella delira... y todas las zombies cokers pidiendo que la encierren en un psiquiátrico si la cárcel no da.

Se viene una nueva campaña, la inhabilitación.

#FuerzaCristina",Cristina
